Y,M,D,data
2019,08,28,nome
2019,08,28,5.000000
2019,08,28,1.756170
2019,08,28,0.981875
2019,08,28,0.848784
2019,08,28,0.654793
2019,08,28,0.866072
2019,08,28,0.305004
2019,08,28,0.163316
2019,08,28,0.194049
2019,08,28,0.328627
2019,08,28,0.340347
2019,08,28,0.235249
2019,08,28,0.340103
2019,08,28,0.417285
2019,08,28,0.237492
2019,08,28,0.200358
2019,08,28,0.179965
2019,08,28,0.258206
2019,08,28,0.187278
2019,08,28,0.190013
2019,08,28,0.159168
2019,08,28,0.212623
2019,08,28,0.287673
2019,08,28,1.731680
2019,08,28,0.542969
2019,08,28,0.236949
2019,08,28,0.489154
2019,08,28,1.372586
2019,08,28,0.261596
2019,08,28,0.217067
2019,08,28,0.365539
2019,08,28,0.099467
2019,08,28,0.369813
2019,08,28,0.314111
2019,08,28,0.331023
2019,08,28,0.277580
2019,08,28,0.272309
2019,08,28,0.137096
2019,08,28,0.140707
2019,08,28,0.130027
2019,08,28,0.171357
2019,08,28,0.193897
2019,08,28,0.163891
2019,08,28,0.133036
2019,08,28,0.229222
2019,08,28,0.197518
2019,08,28,0.222964
2019,08,28,0.122096
2019,08,28,0.076663
2019,08,28,0.073859
2019,08,28,0.087315
2019,08,28,0.095176
2019,08,28,0.165705
2019,08,28,0.077636
2019,08,28,0.131813
2019,08,28,0.086668
2019,08,28,0.075146
2019,08,28,0.167109
2019,08,28,0.158802
2019,08,28,0.183488
2019,08,28,0.106984
2019,08,28,0.261807
2019,08,28,0.167378
2019,08,28,0.075729
2019,08,28,0.187820
2019,08,28,0.118432
2019,08,28,0.095272
2019,08,28,0.082827
2019,08,28,0.114990
2019,08,28,0.176668
2019,08,28,0.068044
2019,08,28,0.070010
2019,08,28,0.132756
2019,08,28,0.378643
2019,08,28,0.248861
2019,08,28,0.188855
2019,08,28,0.113037
2019,08,28,0.158821
2019,08,28,0.157160
2019,08,28,0.168288
2019,08,28,0.114681
2019,08,28,0.487339
2019,08,28,0.626904
2019,08,28,0.470402
2019,08,28,0.069177
2019,08,28,0.203400
2019,08,28,0.290683
2019,08,28,0.097415
2019,08,28,0.137253
2019,08,28,0.092772
2019,08,28,0.132293
2019,08,28,0.047946
2019,08,28,0.843687
2019,08,28,0.574713
2019,08,28,0.065418
2019,08,28,0.077492
2019,08,28,0.071594
